Animal	Sex	Farrowing Group	Line	Sire	Sire Line	Week 8 Weigh Date	Week 8 Weight	Weight Date	Weight	Week 22 Weigh Date	Week 22 Weight	Weight Date_2	Weight_2	Disposal Date	Disposal Code	Disposal Reason
200904907	1	200901	123	200719208	123	03/09/09	51.3	04/17/09	108.3	06/11/09	219.1	07/06/09	263.8	07/06/09	4	SLRE
200905001	2	200901	123	200720912	123	03/09/09	45.2	04/23/09	107.4	06/17/09	187.8	07/17/09	227	07/20/09	6	SLRE
200905006	1	200901	123	200720912	123	03/09/09	52.7	04/17/09	109.8	06/11/09	222.6	07/06/09	261.4	07/06/09	4	SLRE
200905101	2	200901	123	200727611	123	03/09/09	47.1	04/17/09	100.2	06/11/09	201.7	07/06/09	248	07/06/09	4	SLRE
200905106	1	200901	123	200727611	123	03/09/09	44.9	04/23/09	115.5	06/17/09	209	07/06/09	230.6	07/06/09	4	SLRE
200905201	2	200901	123	200727611	123	03/09/09	47.4	04/17/09	103.1	06/23/09	246.4	06/23/09	246.4	06/24/09	6	SLRE
200905203	2	200901	123	200727611	123	03/09/09	37.3	04/23/09	100.7	06/17/09	201.3	07/07/09	234.4	07/08/09	6	SLRE
200905206	1	200901	123	200727611	123	03/09/09	42.7	04/23/09	111.8	06/17/09	237.8	07/06/09	269	07/06/09	4	SLRE
200905501	2	200901	123	200719809	123	03/09/09	55.2	04/17/09	123	06/23/09	266.6	06/23/09	266.6	06/24/09	6	SLRE
200905502	2	200901	123	200719809	123	03/09/09	51.3	04/17/09	104.3	06/11/09	210.3	07/06/09	250	07/06/09	4	SLRE
200905504	1	200901	123	200719809	123	03/09/09	49.1	04/17/09	102.6	06/11/09	225.2	07/06/09	262.4	07/06/09	4	SLRE
200905505	1	200901	123	200719809	123	03/09/09	51.8	04/17/09	110.2	06/23/09	264	06/23/09	264	06/24/09	6	SLRE
200905603	2	200901	123	200718912	123	03/09/09	44.3	04/23/09	109	06/17/09	206.8	07/06/09	233.4	07/06/09	4	SLRE
200905606	1	200901	123	200718912	123	03/09/09	49.3	04/17/09	109.8	06/11/09	217.9	07/06/09	262	07/06/09	4	SLRE
200905704	2	200901	123	200720007	123	03/09/09	44.4	04/23/09	111.8	06/17/09	218	07/06/09	234.8	07/06/09	4	SLRE
200905705	2	200901	123	200720007	123	03/09/09	41.1	04/23/09	108.8	06/17/09	208.1	07/06/09	244	07/06/09	4	SLRE
200905709	1	200901	123	200720007	123	03/09/09	42.1	04/23/09	110.4	06/17/09	221.5	07/06/09	239.2	07/06/09	4	SLRE
200905801	2	200901	123	200719208	123	03/09/09	50.4	04/17/09	104.6	06/11/09	198.3	07/06/09	238.8	07/06/09	4	SLRE
200905806	2	200901	123	200719208	123	03/09/09	46.2	04/17/09	103.5	06/11/09	195.6	07/06/09	247.2	07/06/09	4	SLRE
200905809	1	200901	123	200719208	123	03/09/09	42.9	04/23/09	99.1	06/17/09	197.5	07/07/09	230.4	07/08/09	6	SLRE
200905902	2	200901	123	200719504	123	03/09/09	43	04/23/09	87.5	06/17/09	184.8	07/17/09	224.4	07/20/09	6	SLRE
200905907	1	200901	123	200719504	123	03/09/09	40.8	04/23/09	106.3	06/17/09	209.6	07/06/09	239.8	07/06/09	4	SLRE
200906001	2	200901	123	200719809	123	03/09/09	41.2	04/23/09	105	06/17/09	192.7	07/07/09	223.8	07/08/09	6	SLRE
200906003	2	200901	123	200719809	123	03/09/09	28.9	04/23/09	72.9	06/17/09	145.8	07/17/09	200	07/20/09	6	SLRE
200906009	1	200901	123	200719809	123	03/09/09	32.3	04/23/09	93.6	06/17/09	188.7	07/10/09	231.2	07/13/09	6	SLRE
200906011	1	200901	123	200719809	123	03/09/09	36.6	04/23/09	105.5	06/17/09	199.1	07/07/09	229	07/08/09	6	SLRE
200906101	2	200901	123	200727611	123	03/09/09	50.9	04/17/09	116.1	06/11/09	219.2	07/06/09	262	07/06/09	4	SLRE
200906104	1	200901	123	200727611	123	03/09/09	51.4	04/17/09	106	06/11/09	220	07/06/09	267.8	07/06/09	4	SLRE
200906302	2	200901	123	200720007	123	03/09/09	49.4	04/17/09	104.8	06/11/09	176.7	07/17/09	223	07/20/09	6	SLRE
200906305	1	200901	123	200720007	123	03/09/09	49.1	04/17/09	107	06/11/09	197.2	07/06/09	236.4	07/06/09	4	SLRE
200906403	2	200901	123	200721705	123	03/09/09	39.5	04/23/09	107.5	07/01/09	222.4	07/07/09	230.8	07/08/09	6	SLRE
200906409	1	200901	123	200721705	123	03/09/09	39.5	04/23/09	116.2	07/01/09	248.2	07/06/09	244.8	07/06/09	4	SLRE
200906501	2	200901	123	200719504	123	03/09/09	46.1	04/17/09	102.9	07/01/09	231.8	07/06/09	244.4	07/06/09	4	SLRE
200906506	1	200901	123	200719504	123	03/09/09	46.3	04/17/09	97.3	07/01/09	233.5	07/06/09	224.6	07/06/09	4	SLRE
200906701	2	200901	123	200719809	123	03/09/09	41.1	04/23/09	87.3			04/23/09	87.3	05/12/09	3	ARTH
200906702	2	200901	123	200719809	123	03/09/09	37.1	04/23/09	110.3	07/01/09	234	07/06/09	243	07/06/09	4	SLRE
200906704	1	200901	123	200719809	123	03/09/09	36.3	03/09/09	36.3			03/09/09	36.3	04/08/09	3	POLY
200906705	1	200901	123	200719809	123	03/09/09	42.4	04/23/09	124.5	06/23/09	256	06/23/09	256	06/24/09	6	SLRE
200906902	2	200901	123	200720007	123	03/09/09	36.4	04/23/09	100.6	07/01/09	207.4	07/17/09	236	07/20/09	6	SLRE
200906905	2	200901	123	200720007	123	03/09/09	39.7	04/23/09	99.6	07/01/09	216.8	07/10/09	230.2	07/13/09	6	SLRE
200906909	1	200901	123	200720007	123	03/09/09	46.6	04/17/09	102.8	07/01/09	229.5	07/06/09	233	07/06/09	4	SLRE
200907001	2	200901	123	200719809	123	03/09/09	49.5	04/17/09	105	07/01/09	237.5	07/06/09	245	07/06/09	4	SLRE
